Title,Company,Experience,Salary,Location,Rating,Reviews,Posted,Link
Data Analyst,Altimetrik,7-10 Yrs,Not Disclosed,"Hyderabad, Pune, Gurugram",N/A,N/A,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-naukri-e-hire-campaign-hyderabad-pune-gurugram-7-to-10-years-200526036508
Data Analyst,Multinational Company,5-10 Yrs,Not Disclosed,Pune,N/A,N/A,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-orcapod-consulting-services-pune-5-to-10-years-300526010058
Data Analyst,Han Digital Solution,1-2 Yrs,Not Disclosed,"Lakshadweep, Panaji, Dadra & Nagar Haveli, Nagar, North & Middle Andaman, Daman & Diu, New Delhi, Jammu",N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-han-digital-solution-lakshadweep-panaji-dadra-nagar-haveli-nagar-north-middle-andaman-daman-diu-new-delhi-jammu-1-to-2-years-241125506140
Data Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,2-5 Yrs,Not Disclosed,Gurgaon,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-right-step-consulting-private-limited-gurgaon-2-to-5-years-090617500171
Data Analyst,MS Guide World,1-4 Yrs,Not Disclosed,Pune,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-ms-guide-world-pune-1-to-4-years-260225502829
Petrophysics Data Analyst-G&G Ops Specialist 5+ Yrs,Leading Client,5-10 Yrs,Not Disclosed,Hybrid - Ahmedabad,N/A,N/A,3 weeks ago,https://www.naukri.com/job-listings-petrophysics-data-analyst-g-g-ops-specialist-5-yrs-bcforward-india-technologies-private-limited-ahmedabad-5-to-10-years-250526923082
Petrophysics Data Analyst-G&G Ops Specialist 5+ Yrs,Leading Client,5-10 Yrs,Not Disclosed,Hybrid - Kolkata,N/A,N/A,3 weeks ago,https://www.naukri.com/job-listings-petrophysics-data-analyst-g-g-ops-specialist-5-yrs-bcforward-india-technologies-private-limited-kolkata-5-to-10-years-250526923080
Petrophysics Data Analyst-G&G Ops Specialist 5+ Yrs,Leading Client,5-10 Yrs,Not Disclosed,Hybrid - Chennai,N/A,N/A,3 weeks ago,https://www.naukri.com/job-listings-petrophysics-data-analyst-g-g-ops-specialist-5-yrs-bcforward-india-technologies-private-limited-chennai-5-to-10-years-250526923077
Petrophysics Data Analyst-G&G Ops Specialist 5+ Yrs,Leading Client,5-10 Yrs,Not Disclosed,Hybrid - Pune,N/A,N/A,3 weeks ago,https://www.naukri.com/job-listings-petrophysics-data-analyst-g-g-ops-specialist-5-yrs-bcforward-india-technologies-private-limited-pune-5-to-10-years-250526923074
Petrophysics Data Analyst-G&G Ops Specialist 5+ Yrs,Leading Client,5-10 Yrs,Not Disclosed,Hybrid - Hyderabad,N/A,N/A,3 weeks ago,https://www.naukri.com/job-listings-petrophysics-data-analyst-g-g-ops-specialist-5-yrs-bcforward-india-technologies-private-limited-hyderabad-5-to-10-years-250526923072
